date,ga4_active_users_1d,ga4_sessions_1d,ga4_avg_engagement_sec,ga4_diag_start,ga4_diag_complete,ga4_completion_rate,x_followers,x_impressions_24h,x_profile_visits_24h,x_new_followers_24h,x_link_clicks_24h,note_pv_24h,note_likes_24h,note_like_rate,note_comments_24h,note_followers,top_note_article_title,top_note_article_pv,errors,ga4_breakdown
2026-04-24,N/A,N/A,N/A,N/A,N/A,N/A,63,1800,0,N/A,N/A,1052,163,0.155,0,44,「なんかこの職場、合わない」と感じる理由を心理学で解説する,136,GA4_API:KEY_NOT_FOUND;X:7D_ONLY(x_impressions/visitsは7日合計);NOTE:WEEKLY_ONLY(note_pv/likesは週合計),N/A
2026-04-25,1,1,N/A,N/A,N/A,N/A,62,1900,0,N/A,N/A,1057,163,0.154,0,44,「なんかこの職場、合わない」と感じる理由を心理学で解説する,136,GA4=CHROME_SCRAPING_7D(active=1|new=1|events=4|topPage=ライフオラクル｜MBTIを超えた性格診断×行動経済学/1views);X:7D_ONLY;NOTE:WEEKLY_ONLY;X:LINK_CLICKS_UI_NOT_EXPOSED;X:VERIFIED_AUDIENCE=20/62,sources:Unassigned=1;pages:ライフオラクル｜MBTIを超えた性格診断×行動経済学=1;new_users=1;events=4;key_events=0
2026-04-26,7,34,N/A,N/A,N/A,N/A,61,6100,3,N/A,N/A,1114,176,0.158,0,49,「なんかこの職場、合わない」と感じる理由を心理学で解説する,140,GA4=CHROME_SCRAPING_7D(active=7|new=7|events=34|key_events=0|topPage=ライフオラクル｜MBTIを超えた性格診断×行動経済学/9views);X:7D_ONLY(impressions=6.1K|engagements=395|verified=21);NOTE:ALL_TIME(pv/likes/top_pvは累計);RE_RUN_AT_17:55,sources:Direct=9;pages:ライフオラクル｜MBTIを超えた性格診断×行動経済学=9;new_users=7;events=34;key_events=0
2026-04-27,11,60,N/A,N/A,N/A,N/A,61,6300,3,N/A,N/A,1124,178,0.158,0,51,「なんかこの職場、合わない」と感じる理由を心理学で解説する,141,GA4=CHROME_SCRAPING_7D(active=11|new=10|events=60|key_events=0|topPage=ライフオラクル｜MBTIを超えた性格診断×行動経済学/16views);X:7D_ONLY(impressions=6.3K|engagements=409|verified=21);NOTE:WEEKLY(pv/likes/top_pvは週合計);X:LINK_CLICKS_UI_NOT_EXPOSED,"sources:Direct=13,Unassigned=5;pages:ライフオラクル｜MBTIを超えた性格診断×行動経済学=16;new_users=10;events=60;key_events=0"
2026-04-28,11,67,N/A,N/A,N/A,N/A,61,6400,4,N/A,N/A,1167,192,0.165,0,54,「なんかこの職場、合わない」と感じる理由を心理学で解説する,142,GA4=CHROME_SCRAPING_7D(active=11|new=11|events=67|key_events=0|topPage=ライフオラクル｜MBTIを超えた性格診断×行動経済学/18views);X:7D_ONLY(impressions=6.4K|engagements=390|verified=21);NOTE:WEEKLY(pv/likes/top_pvは週合計);X:LINK_CLICKS_UI_NOT_EXPOSED,"sources:Direct=15,Unassigned=2;pages:ライフオラクル｜MBTIを超えた性格診断×行動経済学=18;new_users=11;events=67;key_events=0"
2026-04-29,N/A,N/A,N/A,N/A,N/A,N/A,61,6300,4,N/A,N/A,1224,204,0.167,0,56,「なんかこの職場、合わない」と感じる理由を心理学で解説する,142,GA4_API:KEY_NOT_FOUND;X:7D_ONLY(impressions=6.3K|visits=4|engagements=365|verified=21);NOTE:WEEKLY(pv/likes/top_pvは週合計);X:LINK_CLICKS_UI_NOT_EXPOSED;daily_delta:pv+57/likes+12/like_rate=21.1%,
2026-04-30,N/A,N/A,N/A,N/A,N/A,N/A,62,7500,7,N/A,N/A,1272,214,0.168,0,57,4月のITエンジニアが「謎の環境構築」で限界を迎える本当の理由,30,GA4_API:KEY_NOT_FOUND;X:2W_ONLY(impressions=7.5K|visits=7|engagements=376|verified=21);NOTE:ALL_TIME(pv/likes累計);daily_delta:pv+48/likes+10/like_rate=20.8%;X:LINK_CLICKS_UI_NOT_EXPOSED,N/A
2026-05-01,4,6,199.5,0,0,N/A,65,177,N/A,N/A,N/A,308,80,0.260,0,60,4月のITエンジニアが「謎の環境構築」で限界を迎える本当の理由,35,"X:PROFILE_CLICKS_UNAVAIL;X:LINK_CLICKS_UNAVAIL;NOTE:WEEKLY(Apr26-May2:pv=308,likes=80)","sources:(direct)=3,note=1,note.com=1,smartnews.com=1"
2026-05-02,7,9,16.92,1,1,1.0,63,308,N/A,N/A,N/A,1152,226,0.196,0,63,「なんかこの職場、合わない」と感じる理由を心理学で解説する,149,"NOTE:WEEKLY(Apr4-May3:pv=1152,likes=226);X:PROFILE_CLICKS_UNAVAIL;X:LINK_CLICKS_UNAVAIL;GA4:API_OK","sources:(direct)=5,(not_set)=5,note=3;diag_start=1;diag_complete=1;completion_rate=1.0"
